laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E06000059,DORSET,189013,188341,91.9,6.5,3.9,0.3,1.0,1.9,7.7,2.3,98.1,7.6,7.6,173765,12322,7459,532,1916,3621,14576,4409,185509,14323,14323,161443,12322,532,1384,1705,10955,85.4,6.5,0.3,0.7,0.9,5.8
E07000108,DOVER,55311,55261,92.7,28.6,1.9,0.5,1.0,2.1,7.2,2.4,98.1,0.0,0.0,51252,15813,1051,296,552,1159,4009,1310,54287,0,0,35439,15813,296,256,607,2850,64.1,28.6,0.5,0.5,1.1,5.2
E08000027,DUDLEY,146883,146735,99.2,89.4,0.8,0.0,0.0,0.1,0.7,0.2,99.5,0.3,0.0,145687,131338,1216,1,15,85,1048,344,146122,383,0,14349,131338,1,14,70,963,9.8,89.4,0.0,0.0,0.0,0.7
S12000006,DUMFRIES AND GALLOWAY,81954,81175,84.5,4.8,4.8,1.8,4.2,7.4,14.5,8.5,95.6,0.0,0.0,69268,3935,3935,1514,3452,6028,11907,6937,78375,0,0,65333,3935,1514,1938,2576,5879,79.7,4.8,1.8,2.4,3.1,7.2
S12000042,DUNDEE CITY,79309,79291,98.5,84.8,0.6,0.0,0.0,0.3,1.5,0.4,99.1,0.0,0.0,78128,67229,498,1,10,235,1163,305,78575,0,0,10899,67229,1,9,225,928,13.7,84.8,0.0,0.0,0.3,1.2
E09000009,EALING,147585,147483,98.4,70.9,13.3,0.0,0.0,0.4,1.6,0.6,98.4,0.0,0.0,145194,104705,19643,0,63,544,2289,894,145249,0,0,40489,104705,0,63,481,1745,27.4,70.9,0.0,0.0,0.3,1.2
S12000008,EAST AYRSHIRE,59099,59049,94.4,37.2,10.9,0.6,1.4,2.9,5.5,3.1,97.6,0.0,0.0,55786,21973,6459,340,814,1720,3263,1825,57672,0,0,33813,21973,340,474,906,1543,57.2,37.2,0.6,0.8,1.5,2.6
E07000009,EAST CAMBRIDGESHIRE,39339,39253,93.9,30.8,3.6,0.5,1.2,2.1,5.9,2.4,98.9,30.7,26.3,36922,12111,1402,214,455,829,2331,938,38923,12064,10361,24811,12111,214,241,374,1502,63.1,30.8,0.5,0.6,1.0,3.8
E07000040,EAST DEVON,73920,73845,87.2,8.8,5.7,0.6,2.6,5.2,12.7,5.8,95.4,19.1,0.7,64461,6510,4185,433,1903,3879,9384,4293,70529,14107,516,57951,6510,433,1470,1976,5505,78.4,8.8,0.6,2.0,2.7,7.4
S12000045,EAST DUNBARTONSHIRE,49414,49367,96.4,74.9,11.1,0.1,0.2,0.6,3.5,0.7,98.5,0.0,0.0,47636,37026,5466,39,89,272,1731,337,48661,0,0,10610,37026,39,50,183,1459,21.5,74.9,0.1,0.1,0.4,3.0
E07000085,EAST HAMPSHIRE,57316,57036,91.9,34.1,6.3,0.2,0.7,1.6,7.6,2.3,97.1,0.0,0.0,52684,19520,3589,132,427,895,4352,1301,55654,0,0,33164,19520,132,295,468,3457,57.9,34.1,0.2,0.5,0.8,6.0
E07000242,EAST HERTFORDSHIRE,66180,66147,94.0,64.0,4.9,0.1,0.7,1.4,5.9,1.6,97.0,0.0,0.0,62217,42334,3255,95,461,907,3930,1046,64209,0,0,19883,42334,95,366,446,3023,30.0,64.0,0.1,0.6,0.7,4.6
E07000137,EAST LINDSEY,72085,71841,86.9,14.0,2.6,1.0,3.1,5.5,12.8,6.0,97.2,11.0,5.2,62647,10106,1876,724,2245,3991,9194,4296,70091,7949,3723,52541,10106,724,1521,1746,5203,72.9,14.0,1.0,2.1,2.4,7.2
S12000010,EAST LOTHIAN,48656,48593,92.5,11.9,14.6,0.4,1.4,2.4,7.4,2.7,97.6,27.1,26.7,45005,5794,7105,184,684,1182,3588,1310,47509,13208,12979,39211,5794,184,500,498,2406,80.6,11.9,0.4,1.0,1.0,4.9
E07000152,EAST NORTHAMPTONSHIRE,42934,42907,97.2,45.7,11.3,0.1,0.4,0.6,2.8,0.7,98.8,0.0,0.0,41711,19618,4861,28,159,261,1196,306,42407,1,0,22093,19618,28,131,102,935,51.5,45.7,0.1,0.3,0.2,2.2
S12000011,EAST RENFREWSHIRE,40891,40880,95.7,68.8,3.8,0.2,0.4,0.7,4.2,1.0,98.7,0.0,0.0,39147,28127,1558,96,161,294,1733,409,40348,0,0,11020,28127,96,65,133,1439,26.9,68.8,0.2,0.2,0.3,3.5
E06000011,EAST RIDING OF YORKSHIRE,164889,163976,94.0,42.2,41.2,0.5,1.0,1.7,5.4,2.4,97.2,32.3,25.1,155069,69552,67924,774,1631,2759,8907,3981,160264,53196,41452,85517,69552,774,857,1128,6148,51.9,42.2,0.5,0.5,0.7,3.7
E07000193,EAST STAFFORDSHIRE,55351,55231,94.4,28.0,23.7,0.2,0.8,1.6,5.4,1.8,98.7,0.0,0.0,52261,15505,13124,126,424,873,2970,1023,54626,0,0,36756,15505,126,298,449,2097,66.4,28.0,0.2,0.5,0.8,3.8
E07000244,EAST SUFFOLK,126099,125911,92.8,11.7,6.3,0.3,1.0,2.0,7.0,2.3,97.7,0.0,0.0,117081,14693,7915,352,1262,2468,8830,2915,123159,0,0,102388,14693,352,910,1206,6362,81.2,11.7,0.3,0.7,1.0,5.0
E07000061,EASTBOURNE,50597,50580,98.9,2.1,2.1,0.0,0.0,0.1,1.1,0.1,99.4,0.0,0.0,50033,1039,1039,0,6,54,547,71,50314,0,0,48994,1039,0,6,48,493,96.8,2.1,0.0,0.0,0.1,1.0
E07000086,EASTLEIGH,59912,59830,97.2,63.7,8.0,0.0,0.0,0.1,2.7,0.3,99.0,0.0,0.0,58224,38140,4778,0,0,69,1606,172,59301,0,0,20084,38140,0,0,69,1537,33.5,63.7,0.0,0.0,0.1,2.6
E07000030,EDEN,29583,29434,80.7,3.6,3.6,4.2,8.1,11.2,18.8,11.9,94.9,4.8,4.2,23866,1059,1059,1250,2386,3309,5568,3529,28073,1419,1248,22807,1059,1250,1136,923,2259,77.1,3.6,4.2,3.8,3.1,7.6
E07000207,ELMBRIDGE,60416,60333,98.6,75.5,3.3,0.0,0.0,0.1,1.2,0.3,99.7,0.0,0.0,59580,45623,2007,9,25,65,753,152,60212,0,0,13957,45623,9,16,40,688,23.1,75.5,0.0,0.0,0.1,1.1
E09000010,ENFIELD,132646,131424,96.9,79.1,2.3,0.0,0.1,0.7,2.2,1.7,97.2,0.0,0.0,128490,104968,3008,21,126,870,2934,2264,128952,0,0,23522,104968,21,105,744,2064,17.7,79.1,0.0,0.1,0.6,1.6
E07000072,EPPING FOREST,61279,61210,93.5,74.2,8.6,0.1,0.4,1.3,6.3,1.6,95.8,0.0,0.0,57325,45470,5244,68,244,818,3885,957,58707,0,0,11855,45470,68,176,574,3067,19.3,74.2,0.1,0.3,0.9,5.0
E07000208,EPSOM AND EWELL,33139,33134,99.2,79.8,3.0,0.0,0.1,0.2,0.8,0.2,99.4,0.0,0.0,32879,26429,995,0,46,57,255,63,32950,0,0,6450,26429,0,46,11,198,19.5,79.8,0.0,0.1,0.0,0.6
E07000036,EREWASH,55617,55547,98.0,74.3,0.8,0.1,0.4,0.5,1.9,0.6,99.4,0.0,0.0,54491,41331,451,77,206,289,1056,360,55283,0,0,13160,41331,77,129,83,767,23.7,74.3,0.1,0.2,0.1,1.4
E07000041,EXETER,58192,58117,95.3,82.1,46.2,0.0,0.2,1.8,4.5,2.3,95.9,46.4,12.7,55472,47771,26910,29,119,1026,2645,1347,55820,27004,7413,7701,47771,29,90,907,1619,13.2,82.1,0.0,0.2,1.6,2.8
S12000014,FALKIRK,73734,73697,96.9,79.8,2.4,0.1,0.4,1.0,3.1,1.2,98.5,0.0,0.0,71417,58869,1738,61,331,730,2280,858,72661,0,0,12548,58869,61,270,399,1550,17.0,79.8,0.1,0.4,0.5,2.1
E07000087,FAREHAM,52658,52602,98.4,82.3,3.7,0.0,0.2,0.5,1.5,0.6,99.4,0.0,0.0,51810,43363,1960,8,91,239,792,300,52366,0,0,8447,43363,8,83,148,553,16.0,82.3,0.0,0.2,0.3,1.1
E07000010,FENLAND,47680,47632,94.0,50.7,26.5,0.4,1.1,1.9,5.9,2.1,98.5,5.8,0.8,44817,24180,12640,205,533,905,2815,981,46962,2786,359,20637,24180,205,328,372,1910,43.3,50.7,0.4,0.7,0.8,4.0
N09000006,FERMANAGH AND OMAGH,50051,49188,69.0,16.8,16.8,7.9,13.6,18.6,29.3,20.4,97.0,40.0,9.4,34528,8403,8403,3932,6822,9326,14660,10213,48548,20025,4704,26125,8403,3932,2890,2504,5334,52.2,16.8,7.9,5.8,5.0,10.7
S12000047,FIFE,189725,189463,95.2,41.8,17.1,0.2,0.8,1.6,4.6,1.8,98.8,0.0,0.0,180711,79318,32520,445,1423,2943,8752,3345,187420,0,0,101393,79318,445,978,1520,5809,53.4,41.8,0.2,0.5,0.8,3.1
W06000005,FLINTSHIRE,73684,73588,93.2,14.9,9.9,0.4,1.1,2.5,6.7,2.8,97.5,32.5,9.2,68654,10976,7297,276,845,1843,4934,2028,71813,23934,6807,57678,10976,276,569,998,3091,78.3,14.9,0.4,0.8,1.4,4.2
E07000112,FOLKESTONE AND HYTHE,54227,54182,93.3,37.9,1.9,0.5,1.2,2.3,6.6,2.5,97.9,0.0,0.0,50611,20531,1056,256,628,1250,3571,1348,53104,0,0,30080,20531,256,372,622,2321,55.5,37.9,0.5,0.7,1.1,4.3
E07000080,FOREST OF DEAN,41478,41397,78.6,14.4,12.6,0.6,3.2,8.4,21.2,9.9,88.0,12.5,5.3,32615,5991,5238,255,1338,3497,8782,4122,36497,5185,2197,26624,5991,255,1083,2159,5285,64.2,14.4,0.6,2.6,5.2,12.7
E07000119,FYLDE,36896,36663,93.1,32.1,3.8,0.1,0.5,1.1,6.3,1.8,97.6,7.7,3.3,34350,11849,1388,20,187,399,2313,656,35994,2837,1225,22501,11849,20,167,212,1914,61.0,32.1,0.1,0.5,0.6,5.2
E08000037,GATESHEAD,100365,100193,95.6,64.2,3.6,0.0,0.3,1.3,4.2,1.7,97.1,0.0,0.0,95980,64421,3565,47,286,1272,4213,1690,97483,1,0,31559,64421,47,239,986,2941,31.4,64.2,0.0,0.2,1.0,2.9
E07000173,GEDLING,54875,54855,99.1,88.0,32.0,0.0,0.2,0.3,0.9,0.3,99.8,0.0,0.0,54357,48316,17557,26,130,158,498,178,54772,0,0,6041,48316,26,104,28,340,11.0,88.0,0.0,0.2,0.1,0.6
S12000049,GLASGOW CITY,335016,334530,96.8,58.9,8.6,0.0,0.1,0.3,3.0,0.6,97.2,0.0,0.0,324359,197201,28747,57,177,1123,10171,1952,325678,0,0,127158,197201,57,120,946,9048,38.0,58.9,0.0,0.0,0.3,2.7
E07000081,GLOUCESTER,59662,59650,98.0,83.5,5.5,0.0,0.1,0.6,2.0,1.1,98.3,49.8,2.1,58447,49828,3286,1,71,337,1203,643,58671,29697,1256,8619,49828,1,70,266,866,14.4,83.5,0.0,0.1,0.4,1.5
E07000088,GOSPORT,38811,38799,99.8,85.7,1.0,0.0,0.0,0.0,0.1,0.1,99.9,0.0,0.0,38749,33248,406,1,9,9,50,21,38789,0,0,5501,33248,1,8,0,41,14.2,85.7,0.0,0.0,0.0,0.1
E07000109,GRAVESHAM,45061,45046,95.9,63.9,6.4,0.0,0.4,0.8,4.1,0.8,98.5,0.0,0.0,43208,28808,2876,17,189,350,1838,365,44395,0,0,14400,28808,17,172,161,1488,32.0,63.9,0.0,0.4,0.4,3.3
E07000145,GREAT YARMOUTH,49002,48852,96.3,49.6,2.6,0.0,0.2,0.5,3.4,0.9,99.0,0.0,0.0,47186,24307,1254,15,114,259,1666,423,48515,0,0,22879,24307,15,99,145,1407,46.7,49.6,0.0,0.2,0.3,2.9
E09000011,GREENWICH,124726,124569,97.9,76.7,12.6,0.0,0.1,0.8,1.9,1.0,98.1,0.0,0.0,122151,95639,15713,0,178,947,2418,1234,122319,0,0,26512,95639,0,178,769,1471,21.3,76.7,0.0,0.1,0.6,1.2
E07000209,GUILDFORD,58309,58291,96.2,64.9,2.9,0.0,0.2,0.6,3.7,0.7,99.3,0.0,0.0,56111,37870,1692,24,110,362,2180,393,57891,0,0,18241,37870,24,86,252,1818,31.3,64.9,0.0,0.1,0.4,3.1
W06000002,GWYNEDD,67960,67694,86.9,15.0,14.1,1.5,3.6,6.2,12.7,6.8,93.4,11.4,4.2,59051,10168,9565,1003,2435,4218,8643,4645,63489,7735,2823,48883,10168,1003,1432,1783,4425,71.9,15.0,1.5,2.1,2.6,6.5
E09000012,HACKNEY,124421,124032,97.2,69.6,10.4,0.0,0.0,0.2,2.5,0.5,97.2,0.0,0.0,120876,86567,12928,0,0,229,3156,642,120910,0,0,34309,86567,0,0,229,2927,27.6,69.6,0.0,0.0,0.2,2.4
E06000006,HALTON,61942,61778,97.8,63.4,1.8,0.0,0.1,0.4,2.0,0.7,99.2,0.0,0.0,60566,39267,1088,18,83,229,1212,407,61473,8,0,21299,39267,18,65,146,983,34.4,63.4,0.0,0.1,0.2,1.6
E07000164,HAMBLETON,44139,44069,87.6,4.7,4.6,1.5,3.8,6.5,12.2,7.0,97.4,41.1,25.1,38674,2061,2041,664,1687,2870,5395,3094,42986,18134,11085,36613,2061,664,1023,1183,2525,82.9,4.7,1.5,2.3,2.7,5.7
E09000013,HAMMERSMITH AND FULHAM,92335,92181,94.1,54.6,18.1,0.0,0.1,0.2,5.7,0.4,94.1,0.0,0.0,86910,50374,16730,0,66,213,5271,372,86928,0,0,36536,50374,0,66,147,5058,39.6,54.6,0.0,0.1,0.2,5.5
E07000131,HARBOROUGH,42619,42563,94.7,34.2,11.9,0.3,0.7,1.5,5.1,1.7,98.5,0.0,0.0,40377,14582,5071,127,284,626,2186,705,41998,0,0,25795,14582,127,157,342,1560,60.5,34.2,0.3,0.4,0.8,3.7
E09000014,HARINGEY,108080,108022,98.3,82.5,2.4,0.0,0.1,0.3,1.7,0.5,98.4,0.0,0.0,106211,89206,2545,0,76,350,1811,573,106307,0,0,17005,89206,0,76,274,1461,15.7,82.5,0.0,0.1,0.3,1.4
E07000073,HARLOW,40971,40944,96.7,81.0,3.5,0.0,0.0,0.5,3.2,0.6,96.9,0.0,0.0,39628,33172,1420,1,8,197,1316,266,39702,0,0,6456,33172,1,7,189,1119,15.8,81.0,0.0,0.0,0.5,2.7
E07000165,HARROGATE,77465,77380,90.9,52.6,3.9,0.8,2.4,3.6,9.0,3.9,97.2,13.1,5.8,70377,40711,3046,650,1888,2824,7003,3028,75273,10159,4456,29666,40711,650,1238,936,4179,38.3,52.6,0.8,1.6,1.2,5.4
E09000015,HARROW,98381,97934,97.3,76.5,11.8,0.0,0.0,0.5,2.3,1.2,97.4,0.0,0.0,95702,75306,11589,14,46,502,2232,1172,95795,0,0,20396,75306,14,32,456,1730,20.7,76.5,0.0,0.0,0.5,1.8
E07000089,HART,43888,43634,94.4,58.6,5.7,0.1,0.8,1.3,5.1,1.9,98.1,0.0,0.0,41415,25705,2508,23,363,583,2219,855,43045,0,0,15710,25705,23,340,220,1636,35.8,58.6,0.1,0.8,0.5,3.7
E06000001,HARTLEPOOL,47156,47116,96.3,84.2,0.5,0.3,0.6,1.2,3.6,1.4,96.9,1.3,0.0,45431,39699,222,119,260,549,1685,664,45695,597,4,5732,39699,119,141,289,1136,12.2,84.2,0.3,0.3,0.6,2.4
E07000062,HASTINGS,46043,46012,98.2,0.9,0.9,0.0,0.0,0.0,1.7,0.1,99.8,0.0,0.0,45225,411,411,0,5,9,787,40,45962,0,0,44814,411,0,5,4,778,97.3,0.9,0.0,0.0,0.0,1.7
E07000090,HAVANT,57669,57562,99.1,85.9,1.0,0.0,0.0,0.1,0.7,0.3,99.5,0.0,0.0,57166,49564,560,0,1,76,396,183,57369,0,0,7602,49564,0,1,75,320,13.2,85.9,0.0,0.0,0.1,0.6
E09000016,HAVERING,113579,112216,95.7,82.1,4.0,0.0,0.2,0.5,3.1,1.8,96.6,0.0,0.0,108747,93214,4501,53,180,557,3469,2039,109697,0,0,15533,93214,53,127,377,2912,13.7,82.1,0.0,0.1,0.3,2.6
E06000019,"HEREFORDSHIRE, COUNTY OF",89841,89594,85.5,16.2,13.3,1.0,3.2,5.8,14.2,6.3,94.2,18.0,6.1,76811,14530,11919,918,2847,5230,12783,5701,84589,16158,5470,62281,14530,918,1929,2383,7553,69.3,16.2,1.0,2.1,2.7,8.4
E07000098,HERTSMERE,46140,46124,98.0,79.6,2.7,0.0,0.2,0.4,1.9,0.5,99.1,0.0,0.0,45235,36709,1238,5,106,181,889,213,45741,0,0,8526,36709,5,101,75,708,18.5,79.6,0.0,0.2,0.2,1.5
E07000037,HIGH PEAK,45923,45744,91.6,6.8,3.3,0.4,1.3,2.1,8.0,2.6,98.7,0.0,0.0,42070,3114,1532,203,590,980,3674,1180,45326,0,0,38956,3114,203,387,390,2694,84.8,6.8,0.4,0.8,0.8,5.9
S12000017,HIGHLAND,114693,112658,80.2,2.4,2.4,2.3,4.6,8.2,18.0,10.2,93.2,8.3,1.7,91968,2776,2776,2583,5238,9367,20690,11665,106918,9520,1944,89192,2776,2583,2655,4129,11323,77.8,2.4,2.3,2.3,3.6,9.9
E09000017,HILLINGDON,120139,119385,96.0,83.6,5.0,0.0,0.2,0.8,3.3,1.7,96.4,0.0,0.0,115371,100483,6045,44,257,904,4014,2083,115833,0,0,14888,100483,44,213,647,3110,12.4,83.6,0.0,0.2,0.5,2.6
E07000132,HINCKLEY AND BOSWORTH,55024,54418,95.3,60.8,8.3,0.1,0.9,1.4,3.6,2.5,97.6,0.0,0.0,52436,33457,4561,44,509,757,1982,1367,53717,0,0,18979,33457,44,465,248,1225,34.5,60.8,0.1,0.8,0.5,2.2
E07000227,HORSHAM,66433,66378,93.0,17.9,9.0,0.3,1.0,1.8,6.9,2.0,98.7,0.0,0.0,61791,11910,5990,210,682,1212,4587,1303,65574,0,0,49881,11910,210,472,530,3375,75.1,17.9,0.3,0.7,0.8,5.1
E09000018,HOUNSLOW,100250,100085,97.6,84.0,10.4,0.0,0.1,0.4,2.2,0.6,97.7,0.0,0.0,97874,84234,10475,0,121,407,2211,622,97983,0,0,13640,84234,0,121,286,1804,13.6,84.0,0.0,0.1,0.3,1.8
E07000011,HUNTINGDONSHIRE,82455,82059,96.0,51.7,5.0,0.3,0.7,1.3,3.5,1.8,98.9,0.4,0.0,79164,42665,4123,231,602,1075,2895,1507,81509,316,0,36499,42665,231,371,473,1820,44.3,51.7,0.3,0.4,0.6,2.2
E07000120,HYNDBURN,41003,40908,97.6,58.2,0.9,0.0,0.1,0.2,2.2,0.5,99.0,43.7,23.4,40009,23851,354,18,43,91,899,187,40583,17920,9597,16158,23851,18,25,48,808,39.4,58.2,0.0,0.1,0.1,2.0
S12000018,INVERCLYDE,42007,41931,97.1,71.9,8.6,0.1,0.3,0.6,2.8,0.8,98.4,0.0,0.0,40772,30219,3611,41,124,258,1159,354,41354,0,0,10553,30219,41,83,134,901,25.1,71.9,0.1,0.2,0.3,2.1
E07000202,IPSWICH,65045,64966,98.5,82.9,1.5,0.0,0.1,0.3,1.4,0.5,98.7,0.0,0.0,64078,53941,985,0,39,223,888,304,64208,0,0,10137,53941,0,39,184,665,15.6,82.9,0.0,0.1,0.3,1.0
W06000001,ISLE OF ANGLESEY,36957,36817,88.5,15.1,15.1,0.8,2.4,4.1,11.2,4.8,95.4,22.5,7.0,32690,5596,5596,284,891,1524,4127,1775,35268,8311,2569,27094,5596,284,607,633,2603,73.3,15.1,0.8,1.6,1.7,7.0
E06000046,ISLE OF WIGHT,78201,78014,94.3,0.9,17.7,0.3,0.7,1.3,5.5,1.5,99.5,0.0,0.0,73749,675,13852,244,579,1016,4265,1203,77813,0,0,73074,675,244,335,437,3249,93.4,0.9,0.3,0.4,0.6,4.2
E06000053,ISLES OF SCILLY,1685,1675,94.4,0.0,0.0,0.0,0.0,0.2,5.0,0.8,99.4,0.0,0.0,1590,0,0,0,0,4,85,14,1675,0,0,1590,0,0,0,4,81,94.4,0.0,0.0,0.0,0.2,4.8
E09000019,ISLINGTON,121956,121910,94.5,76.5,10.1,0.0,0.0,0.0,5.5,0.2,94.5,0.0,0.0,115229,93299,12287,0,0,15,6681,245,115234,0,0,21930,93299,0,0,15,6666,18.0,76.5,0.0,0.0,0.0,5.5
E09000020,KENSINGTON AND CHELSEA,99270,99230,94.9,79.6,7.3,0.0,0.0,0.1,5.1,0.2,94.9,0.0,0.0,94159,78998,7233,0,0,52,5071,151,94159,0,0,15161,78998,0,0,52,5019,15.3,79.6,0.0,0.0,0.1,5.1
E07000153,KETTERING,48741,48351,95.2,46.8,7.1,0.1,0.8,1.6,4.0,2.6,96.0,0.1,0.0,46393,22815,3455,44,382,761,1958,1272,46772,34,0,23578,22815,44,338,379,1197,48.4,46.8,0.1,0.7,0.8,2.5
E07000146,"KING'S LYNN AND WEST NORFOLK",78883,78332,91.0,6.2,3.1,0.4,1.2,2.4,8.3,3.2,97.7,3.0,0.4,71781,4897,2414,312,968,1920,6551,2552,77092,2396,323,66884,4897,312,656,952,4631,84.8,6.2,0.4,0.8,1.2,5.9
E06000010,"KINGSTON UPON HULL, CITY OF",127670,126290,98.2,97.0,97.0,0.0,0.0,0.1,0.8,1.3,98.2,21.3,12.0,125326,123847,123847,4,21,190,964,1703,125326,27158,15320,1479,123847,4,17,169,774,1.2,97.0,0.0,0.0,0.1,0.6
E09000021,KINGSTON UPON THAMES,70788,70709,97.0,85.2,2.7,0.0,0.1,0.2,2.9,0.4,97.8,0.0,0.0,68652,60303,1897,9,46,129,2057,314,69197,0,0,8349,60303,9,37,83,1928,11.8,85.2,0.0,0.1,0.1,2.7
E08000034,KIRKLEES,195994,195933,97.0,63.4,11.1,0.0,0.3,0.7,3.0,0.7,98.8,0.1,0.0,190149,124260,21826,82,498,1289,5784,1463,193556,164,0,65889,124260,82,416,791,4495,33.6,63.4,0.0,0.2,0.4,2.3
E08000011,KNOWSLEY,72457,72345,98.6,73.8,4.5,0.0,0.2,0.3,1.3,0.4,99.4,3.3,0.0,71437,53449,3286,23,135,205,908,326,72012,2391,0,17988,53449,23,112,70,703,24.8,73.8,0.0,0.2,0.1,1.0
E09000022,LAMBETH,155958,155636,95.5,68.3,9.5,0.0,0.0,0.0,4.3,0.2,95.7,0.0,0.0,148973,106468,14809,0,0,3,6663,351,149243,0,0,42505,106468,0,0,3,6660,27.3,68.3,0.0,0.0,0.0,4.3
E07000121,LANCASTER,67983,67953,98.2,49.4,11.6,0.2,0.3,0.6,1.8,0.7,99.7,0.5,0.0,66748,33568,7890,143,220,387,1205,442,67796,348,10,33180,33568,143,77,167,818,48.8,49.4,0.2,0.1,0.2,1.2
E08000035,LEEDS,374780,374594,96.3,80.2,33.9,0.0,0.3,0.6,3.7,0.8,97.1,4.7,0.6,360899,300741,126899,176,1188,2323,13695,2875,364014,17781,2335,60158,300741,176,1012,1135,11372,16.1,80.2,0.0,0.3,0.3,3.0
E06000016,LEICESTER,144734,144651,99.1,88.4,6.3,0.0,0.0,0.2,0.9,0.3,99.2,0.0,0.0,143402,127936,9105,2,31,283,1249,497,143595,0,0,15466,127936,2,29,252,966,10.7,88.4,0.0,0.0,0.2,0.7
E07000063,LEWES,47277,47251,96.8,20.7,22.0,0.1,0.3,0.6,3.2,0.7,99.8,0.0,0.0,45749,9778,10424,50,141,284,1502,312,47174,0,0,35971,9778,50,91,143,1218,76.1,20.7,0.1,0.2,0.3,2.6
E09000023,LEWISHAM,137562,137424,96.0,64.5,13.5,0.0,0.0,0.2,3.9,0.5,96.2,0.0,0.0,132077,88789,18546,0,0,263,5347,622,132317,0,0,43288,88789,0,0,263,5084,31.5,64.5,0.0,0.0,0.2,3.7
E07000194,LICHFIELD,48563,48526,95.8,64.2,5.4,0.3,0.7,1.3,4.1,1.4,99.6,0.0,0.0,46524,31183,2615,167,328,639,2002,685,48354,0,0,15341,31183,167,161,311,1363,31.6,64.2,0.3,0.3,0.6,2.8
E07000138,LINCOLN,48177,48132,98.3,79.9,0.5,0.0,0.1,0.5,1.6,0.6,98.5,23.9,20.8,47338,38472,239,12,30,248,794,294,47450,11531,10022,8866,38472,12,18,218,546,18.4,79.9,0.0,0.0,0.5,1.1
N09000007,LISBURN AND CASTLEREAGH,60787,60338,92.5,67.7,46.2,0.3,1.5,2.4,6.7,3.2,98.4,0.0,0.0,56248,41130,28075,209,882,1448,4090,1941,59803,0,0,15118,41130,209,673,566,2642,24.9,67.7,0.3,1.1,0.9,4.3
E08000012,LIVERPOOL,236001,235798,94.7,77.2,26.4,0.0,0.0,0.2,5.2,0.4,95.0,0.0,0.0,223461,182084,62281,3,41,546,12337,1054,224107,117,0,41377,182084,3,38,505,11791,17.5,77.2,0.0,0.0,0.2,5.0
E06000032,LUTON,86460,86398,99.2,92.4,3.7,0.0,0.2,0.2,0.7,0.3,99.3,0.0,0.0,85778,79864,3162,6,166,206,620,279,85829,0,0,5914,79864,6,160,40,414,6.8,92.4,0.0,0.2,0.0,0.5
E07000110,MAIDSTONE,76815,76707,91.9,49.9,5.1,0.5,1.6,2.8,7.9,3.0,97.5,0.0,0.0,70621,38326,3886,366,1211,2132,6086,2276,74871,0,0,32295,38326,366,845,921,3954,42.0,49.9,0.5,1.1,1.2,5.1
E07000074,MALDON,29816,29746,92.3,7.4,7.4,0.3,1.0,2.2,7.5,2.5,98.9,0.0,0.0,27511,2206,2206,97,303,666,2235,757,29483,0,0,25305,2206,97,206,363,1569,84.9,7.4,0.3,0.7,1.2,5.3
E07000235,MALVERN HILLS,37989,37934,87.5,11.6,7.1,0.7,2.6,5.1,12.4,5.5,96.7,33.3,15.2,33227,4422,2716,255,993,1924,4707,2078,36723,12665,5771,28805,4422,255,738,931,2783,75.8,11.6,0.7,1.9,2.5,7.3
E08000003,MANCHESTER,246753,246642,94.1,64.5,16.1,0.1,0.2,1.1,5.9,1.6,94.5,2.1,0.6,232149,159038,39759,164,467,2803,14493,3891,233113,5107,1461,73111,159038,164,303,2336,11690,29.6,64.5,0.1,0.1,0.9,4.7
E07000174,MANSFIELD,52577,52559,99.0,82.3,8.8,0.0,0.1,0.2,1.0,0.2,99.6,0.0,0.0,52026,43293,4637,5,35,84,533,109,52387,0,0,8733,43293,5,30,49,449,16.6,82.3,0.0,0.1,0.1,0.9
E06000035,MEDWAY,121257,121150,97.1,73.4,1.6,0.0,0.3,0.7,2.8,0.9,98.6,0.0,0.0,117799,89060,1979,25,318,892,3351,1142,119611,0,0,28739,89060,25,293,574,2459,23.7,73.4,0.0,0.2,0.5,2.0
