Area,Year,Region,SFBB,UFBB,Income
EPSOM AND EWELL,2016,South East,95.0,2.0,34669.0
GOSPORT,2016,South East,97.0,0.0,27129.0
GRAVESHAM,2016,South East,94.0,1.0,29668.0
GUILDFORD,2016,South East,93.0,1.0,34883.0
HASTINGS,2016,South East,94.0,0.0,23722.0
HAVANT,2016,South East,98.0,0.0,27340.0
HORSHAM,2016,South East,85.0,2.0,33430.0
ISLE OF WIGHT,2016,South East,92.0,0.0,25278.0
LEWES,2016,South East,91.0,1.0,29479.0
MAIDSTONE,2016,South East,87.0,0.0,29634.0
MEDWAY,2016,South East,95.0,0.0,29244.0
MILTON KEYNES,2016,South East,83.0,12.0,29118.0
NEW FOREST,2016,South East,84.0,0.0,29545.0
OXFORD,2016,South East,97.0,0.0,29753.0
PORTSMOUTH,2016,South East,96.0,0.0,25861.0
READING,2016,South East,96.0,1.0,31237.0
REIGATE AND BANSTEAD,2016,South East,94.0,1.0,32538.0
RUNNYMEDE,2016,South East,95.0,1.0,31163.0
RUSHMOOR,2016,South East,95.0,0.0,28797.0
SEVENOAKS,2016,South East,84.0,1.0,30907.0
SLOUGH,2016,South East,95.0,1.0,28276.0
SOUTH OXFORDSHIRE,2016,South East,84.0,4.0,34257.0
SOUTHAMPTON,2016,South East,94.0,0.0,26448.0
SPELTHORNE,2016,South East,72.0,24.0,34997.0
SURREY HEATH,2016,South East,94.0,0.0,35928.0
SWALE,2016,South East,89.0,0.0,27483.0
TANDRIDGE,2016,South East,87.0,3.0,34021.0
TEST VALLEY,2016,South East,76.0,3.0,32175.0
THANET,2016,South East,96.0,0.0,24113.0
TUNBRIDGE WELLS,2016,South East,86.0,0.0,30000.0
VALE OF WHITE HORSE,2016,South East,82.0,9.0,33401.0
WAVERLEY,2016,South East,86.0,2.0,40223.0
WEALDEN,2016,South East,83.0,0.0,30305.0
WEST BERKSHIRE,2016,South East,76.0,19.0,33537.0
WEST OXFORDSHIRE,2016,South East,86.0,9.0,31266.0
WINCHESTER,2016,South East,74.0,0.0,36313.0
WORTHING,2016,South East,99.0,0.0,28061.0
BATH AND NORTH EAST SOMERSET,2016,South West,84.0,0.0,29888.0
"BRISTOL, CITY OF",2016,South West,93.0,1.0,27378.0
CHELTENHAM,2016,South West,93.0,0.0,28264.0
CORNWALL,2016,South West,56.0,29.0,24574.0
EAST DEVON,2016,South West,78.0,2.0,27754.0
EXETER,2016,South West,83.0,9.0,27275.0
GLOUCESTER,2016,South West,93.0,0.0,26494.0
