Region,Area,2016 SFBB availability (% premises),2016 UFBB availability (% premises),2017 SFBB availability (% premises),2017 UFBB availability (% premises),2018 SFBB availability (% premises),2018 UFBB availability (% premises),2019 SFBB availability (% premises),2019 UFBB availability (% premises),2020 SFBB availability (% premises),2020 UFBB availability (% premises),2021 SFBB availability (% premises),2021 UFBB availability (% premises),2016,2017,2018,2019,2020,2021
London,KINGSTON UPON THAMES,95.0,1.0,13.0,84.0,7.3,91.0,11.0,86.0,97.0,85.2,97.8,86.7,38034.0,37594.0,38055.0,38561.0,41255.0,40572.0
London,LAMBETH,87.0,3.0,59.0,34.0,34.3,62.3,28.2,66.5,95.5,68.3,95.5,66.0,33315.0,34266.0,38000.0,36969.0,42040.0,40511.0
London,LEWISHAM,84.0,9.0,64.0,31.0,35.7,60.8,31.9,64.2,96.0,64.5,94.8,63.1,33080.0,34201.0,33514.0,33754.0,37167.0,35365.0
London,MERTON,96.0,1.0,17.0,81.0,16.0,83.0,14.9,83.4,98.4,83.7,98.2,86.8,34011.0,35708.0,37106.0,37906.0,41998.0,34127.0
London,NEWHAM,86.0,11.0,29.0,68.0,13.8,84.0,17.8,79.9,97.2,80.0,97.6,81.5,27773.0,29107.0,30871.0,31807.0,32909.0,34869.0
London,REDBRIDGE,90.0,7.0,22.0,75.0,26.1,72.2,14.5,83.9,98.0,86.1,97.1,81.7,33742.0,33201.0,33632.0,35534.0,36573.0,37118.0
London,RICHMOND UPON THAMES,95.0,0.0,19.0,78.0,14.3,84.8,18.9,79.2,97.8,81.9,97.7,84.2,42068.0,40818.0,42338.0,43069.0,49574.0,42151.0
London,SOUTHWARK,76.0,6.0,62.0,25.0,26.7,67.3,23.4,68.3,91.9,70.5,92.9,75.6,33975.0,35012.0,36159.0,39130.0,38403.0,38030.0
London,SUTTON,97.0,0.0,22.0,76.0,15.8,82.8,16.8,81.2,97.9,80.0,98.2,84.4,32723.0,32425.0,35758.0,36547.0,34996.0,36459.0
London,TOWER HAMLETS,69.0,17.0,45.0,45.0,27.4,62.6,29.8,60.0,90.5,61.2,92.1,67.3,36089.0,37643.0,38108.0,42608.0,41590.0,40533.0
London,WALTHAM FOREST,79.0,18.0,14.0,82.0,7.4,90.5,10.6,86.1,96.5,87.1,96.0,86.9,30746.0,31419.0,33212.0,34917.0,36875.0,36096.0
London,WANDSWORTH,87.0,5.0,65.0,29.0,29.4,67.8,22.6,74.1,96.8,74.7,96.7,75.3,41325.0,40123.0,41724.0,43449.0,46430.0,43651.0
London,WESTMINSTER,70.0,5.0,71.0,14.0,50.6,30.2,45.7,38.3,84.9,46.2,88.6,60.9,41729.0,43105.0,44712.0,43990.0,44544.0,41977.0
North East,COUNTY DURHAM,91.0,0.0,91.0,1.0,89.3,3.2,83.9,9.0,93.5,11.6,93.9,22.3,25011.0,25667.0,26331.0,27557.0,28239.0,28259.0
North East,GATESHEAD,91.0,1.0,28.0,65.0,39.0,57.1,31.1,64.4,95.6,64.2,95.5,69.9,25049.0,25802.0,25985.0,26504.0,26476.0,26937.0
North East,HARTLEPOOL,95.0,0.0,19.0,76.0,8.3,89.3,12.9,83.1,96.3,84.2,96.1,88.1,25970.0,25525.0,26929.0,26523.0,28653.0,27717.0
North East,MIDDLESBROUGH,94.0,0.0,9.0,85.0,5.8,91.9,8.5,87.8,96.4,89.4,95.4,88.4,24966.0,24141.0,25434.0,26044.0,26645.0,26393.0
North East,NEWCASTLE UPON TYNE,93.0,2.0,71.0,24.0,36.5,60.5,36.6,58.6,95.3,59.0,96.0,69.4,26577.0,26691.0,26928.0,28024.0,29050.0,30264.0
North East,NORTH TYNESIDE,88.0,0.0,38.0,57.0,36.4,61.7,36.9,61.0,98.2,62.5,98.5,70.0,26092.0,27855.0,28726.0,29525.0,29523.0,29029.0
North East,NORTHUMBERLAND,86.0,1.0,87.0,2.0,88.9,2.3,85.5,6.6,92.9,7.6,92.8,9.2,26454.0,27113.0,27460.0,27430.0,28472.0,28229.0
North East,REDCAR AND CLEVELAND,93.0,0.0,30.0,63.0,9.3,87.8,11.7,84.5,96.4,84.9,96.3,83.7,24403.0,25390.0,24973.0,25836.0,26675.0,24781.0
North East,SOUTH TYNESIDE,91.0,0.0,94.0,0.0,21.3,76.9,28.1,69.4,97.7,70.7,97.8,76.3,23744.0,25301.0,24979.0,25930.0,26529.0,27356.0
North East,STOCKTON-ON-TEES,92.0,0.0,31.0,63.0,22.3,73.8,23.5,71.6,95.8,84.3,95.1,84.8,27752.0,26538.0,26889.0,29477.0,29450.0,27834.0
North East,SUNDERLAND,96.0,0.0,47.0,49.0,43.6,53.3,40.5,55.9,96.7,57.0,96.3,60.3,25171.0,24914.0,25649.0,25456.0,26626.0,24961.0
North West,ALLERDALE,83.0,0.0,86.0,1.0,90.1,1.0,89.8,1.7,92.1,2.3,92.5,3.1,29315.0,29363.0,29730.0,30474.0,33339.0,35461.0
North West,BARROW-IN-FURNESS,97.0,0.0,98.0,0.0,98.0,0.4,97.8,0.7,98.6,0.7,98.5,1.0,25885.0,30025.0,33580.0,31929.0,35230.0,34664.0
North West,BLACKBURN WITH DARWEN,94.0,0.0,38.0,59.0,36.9,60.9,35.9,61.5,97.6,63.1,97.3,67.3,22768.0,23183.0,23449.0,25121.0,24554.0,25902.0
North West,BLACKPOOL,98.0,0.0,74.0,24.0,27.5,71.8,34.4,64.5,99.0,66.7,98.4,70.4,21429.0,23055.0,22943.0,24795.0,24526.0,22833.0
North West,BOLTON,97.0,0.0,29.0,69.0,42.6,56.1,30.0,68.3,98.4,80.8,98.2,84.4,24815.0,24364.0,25007.0,26554.0,27066.0,26965.0
North West,BURNLEY,97.0,0.0,98.0,0.0,13.4,85.4,34.0,64.0,98.0,78.4,97.9,79.0,24142.0,23659.0,24795.0,28050.0,25334.0,26983.0
North West,BURY,96.0,0.0,61.0,36.0,53.8,43.5,51.2,45.7,97.1,49.1,97.2,60.3,28069.0,27652.0,29347.0,29650.0,32267.0,31341.0
North West,CARLISLE,88.0,0.0,63.0,27.0,46.1,46.8,48.3,44.9,93.4,46.1,93.5,47.9,23342.0,23192.0,24174.0,26437.0,29140.0,26396.0
North West,CHESHIRE EAST,88.0,1.0,87.0,3.0,60.7,30.6,60.0,32.3,92.8,33.4,93.5,40.7,28754.0,28682.0,29881.0,31960.0,32601.0,32103.0
North West,CHESHIRE WEST AND CHESTER,87.0,2.0,75.0,16.0,75.9,17.4,70.3,24.0,94.6,26.8,94.9,41.4,28819.0,29478.0,29756.0,30970.0,31389.0,32921.0
North West,CHORLEY,92.0,1.0,49.0,45.0,44.5,50.3,46.0,48.6,94.8,51.1,95.4,55.9,27486.0,27463.0,30169.0,31094.0,31157.0,33647.0
North West,COPELAND,83.0,0.0,87.0,0.0,93.3,0.5,93.4,1.2,94.9,1.4,94.8,1.6,38620.0,43252.0,44281.0,33132.0,45067.0,42995.0
North West,EDEN,71.0,0.0,73.0,2.0,76.7,2.6,76.6,3.3,80.7,3.6,80.9,5.3,24257.0,24413.0,24506.0,29095.0,30683.0,31770.0
North West,FYLDE,88.0,0.0,70.0,20.0,67.0,25.3,60.8,30.8,93.1,32.1,93.9,33.4,26983.0,30498.0,31837.0,31545.0,33449.0,30889.0
North West,HALTON,96.0,0.0,40.0,57.0,33.4,64.8,34.6,63.0,97.8,63.4,96.9,63.2,25250.0,26143.0,27592.0,27690.0,30405.0,28829.0
North West,HYNDBURN,96.0,0.0,47.0,49.0,40.5,56.9,40.6,56.9,97.6,58.2,97.4,72.8,23549.0,25069.0,22627.0,24912.0,24850.0,26927.0
North West,KNOWSLEY,96.0,0.0,26.0,72.0,31.6,67.4,26.8,71.9,98.6,73.8,98.6,78.1,25135.0,26235.0,26880.0,25849.0,28502.0,29493.0
North West,LIVERPOOL,93.0,2.0,21.0,75.0,36.1,61.3,20.9,73.9,94.7,77.2,94.5,78.4,25953.0,26017.0,26706.0,28800.0,30850.0,30000.0
North West,MANCHESTER,88.0,2.0,51.0,41.0,37.8,57.4,30.9,63.3,94.1,64.5,92.8,70.1,24185.0,25000.0,26199.0,26629.0,28143.0,27502.0
North West,OLDHAM,97.0,0.0,35.0,62.0,28.3,69.9,27.8,70.3,98.2,74.0,98.1,76.1,24051.0,24907.0,25003.0,25375.0,26062.0,27594.0
North West,PRESTON,93.0,1.0,31.0,65.0,25.2,72.3,33.5,63.8,97.4,66.7,97.1,68.8,24680.0,24176.0,25880.0,26057.0,26887.0,27425.0
North West,ROCHDALE,97.0,0.0,83.0,15.0,35.7,62.3,39.1,58.6,97.9,63.8,97.6,64.9,24421.0,24603.0,24904.0,26291.0,27305.0,25742.0
North West,ROSSENDALE,92.0,0.0,93.0,0.0,52.9,41.7,52.8,42.2,95.1,43.2,94.0,43.3,24041.0,23379.0,25000.0,26093.0,27643.0,29019.0
North West,SALFORD,90.0,3.0,23.0,70.0,17.9,78.4,16.5,79.2,96.0,81.1,95.5,82.1,25288.0,26097.0,26173.0,26944.0,29507.0,28081.0
North West,SEFTON,97.0,0.0,48.0,50.0,46.1,52.3,35.6,62.4,98.3,64.2,98.1,65.8,25517.0,26801.0,28330.0,28015.0,29543.0,30585.0
North West,SOUTH RIBBLE,95.0,0.0,33.0,62.0,31.1,65.6,35.4,60.7,96.5,61.9,96.8,67.0,26884.0,26750.0,27733.0,28014.0,29086.0,28260.0
North West,ST. HELENS,90.0,0.0,15.0,78.0,25.1,72.8,17.6,79.9,97.8,81.6,97.2,83.6,26008.0,25352.0,26224.0,28796.0,28435.0,29355.0
North West,STOCKPORT,98.0,0.0,22.0,76.0,25.4,73.5,19.4,79.1,98.5,81.3,98.1,82.6,28171.0,29048.0,31027.0,32246.0,34021.0,30724.0
North West,TAMESIDE,96.0,0.0,84.0,12.0,55.2,41.7,46.4,50.3,97.0,51.8,96.7,56.1,23419.0,24289.0,24401.0,25770.0,25825.0,27706.0
North West,TRAFFORD,96.0,0.0,63.0,35.0,33.9,64.2,32.4,65.2,97.8,66.3,97.7,66.4,34069.0,32047.0,34004.0,33791.0,35065.0,34936.0
North West,WARRINGTON,95.0,0.0,33.0,63.0,38.3,58.8,39.4,57.6,97.0,67.0,96.8,68.5,27856.0,28168.0,30776.0,30877.0,30245.0,31517.0
North West,WEST LANCASHIRE,83.0,0.0,85.0,3.0,78.3,13.1,73.6,20.0,94.4,26.5,94.5,37.5,27798.0,28445.0,29902.0,28396.0,29616.0,29454.0
North West,WIGAN,97.0,0.0,22.0,76.0,34.1,64.8,28.5,69.9,98.7,81.7,98.6,85.5,27094.0,26957.0,27031.0,26999.0,29366.0,30809.0
North West,WIRRAL,95.0,0.0,78.0,17.0,53.6,42.9,42.4,54.7,97.5,60.4,97.9,72.5,28183.0,27561.0,27708.0,29463.0,28997.0,29653.0
Scotland,ABERDEEN CITY,89.0,0.0,90.0,0.0,88.2,4.8,73.3,20.1,93.9,30.0,94.3,50.8,29350.0,28500.0,29829.0,30426.0,30615.0,29949.0
Scotland,ABERDEENSHIRE,69.0,0.0,72.0,0.0,77.1,1.2,78.5,2.8,82.0,3.2,82.8,8.5,29887.0,29434.0,30877.0,32539.0,33970.0,32605.0
Scotland,ANGUS,73.0,0.0,68.0,13.0,70.8,15.3,72.3,13.6,86.9,13.7,86.8,14.4,27505.0,27529.0,29052.0,29333.0,29858.0,30305.0
Scotland,ARGYLL AND BUTE,54.0,0.0,69.0,0.0,77.2,0.5,75.3,0.9,77.3,1.1,77.8,1.6,25592.0,24721.0,24517.0,27868.0,28321.0,26902.0
Scotland,CITY OF EDINBURGH,89.0,0.0,21.0,72.0,20.5,77.7,15.5,81.7,97.3,82.8,97.5,84.0,29426.0,30546.0,31521.0,32098.0,34124.0,33241.0
Scotland,DUMFRIES AND GALLOWAY,70.0,0.0,76.0,0.0,80.6,1.8,79.8,4.2,84.5,4.8,84.6,6.1,24414.0,24565.0,24130.0,24461.0,26142.0,27555.0
